,Company Name,Symbol,Stock Exchange,Price 3/6/2020,Price 1/6/2020,Price Change,P/E,Cash Flow,Book Value per Share,Debt Ratio,Percent Price Change,Projected Cash Flow,Investability Rating
16,Allegion PLC,ALLE,NYSE,119.5,122.16,-2.66,21.13,491,9.56,74.37,-2.18%,498,3.83
17,Allergan plc,AGN,NYSE,189.27,190.95,-1.68,10.98,"5,282",181.37,38.55,-0.88%,"6,133",5.33
18,Alliance Data Systems Corp.,ADS,NYSE,70.89,109.36,-38.47,3.01,329,65.71,94.01,-35.18%,386,5.64
19,Alliant Energy Corp.,LNT,NAS,56.02,53.8,2.22,16.05,-546,22.69,68.58,4.13%,-430,3.29
20,Alphabet A (ex Google),GOOGL,NAS,"1,272.64","1,351.16",-78.52,22.09,"36,402",351.58,26.99,-5.81%,"43,141",4.73
21,Alphabet C (ex Google),GOOG,NAS,"1,277.06","1,350.36",-73.3,22.29,"36,402",351.58,26.99,-5.43%,"43,141",4.68
22,Altria Inc.,MO,NYSE,41.87,49.63,-7.76,9.12,"4,943",6.0,87.1,-15.64%,"8,018",6.89
23,Amazon,AMZN,NAS,"1,876.00","1,860.00",16.0,67.33,"33,953",161.41,72.45,0.86%,"43,660",2.77
24,AMD (Advanced Micro Devices)  Inc.,AMD,NAS,49.54,48.01,1.53,39.36,923,3.16,53.1,3.19%,"1,323",5.5
25,Ameren Corp.,AEE,NYSE,83.81,76.08,7.73,22.51,"-1,330",35.68,71.66,10.16%,-268,1.93
26,American Airlines Inc,AAL,NAS,15,27.19,-12.19,3.01,"2,537",7.17,100.2,-44.83%,"3,758",7.57
27,American Electric Power Co. Inc.,AEP,NYSE,95.96,93.47,2.49,21.41,"-1,305",41.69,74.7,2.66%,"-1,208",2.25
28,American Tower Corp.,AMT,NYSE,243.17,228.48,14.69,51.58,"3,262",7.91,84.61,6.43%,"3,725",3.47
29,American Water Works Co Inc,AWK,NYSE,136.01,120.99,15.02,33.53,-213,35.85,73.01,12.41%,-145,1.61
30,AmerisourceBergen Corp.,ABC,NYSE,84.29,83.68,0.61,12.89,"1,533",17.84,92.41,0.73%,"1,627",3.9
31,Ametek Inc.,AME,NYSE,86.01,100.31,-14.3,20.6,999,25.39,48.04,-14.26%,"1,090",5.33
32,Amgen Inc.,AMGN,NAS,203.97,237.2,-33.23,12.26,"10,607",24.0,83.8,-14.01%,"12,333",5.33
33,Amphenol Corp.,APH,NYSE,90.22,107.28,-17.06,26.15,"1,145",15.35,57.5,-15.9%,"1,316",5.54
34,Analog Devices Inc.,ADI,NAS,105,116.25,-11.25,22.75,"1,985",31.69,45.27,-9.68%,"2,281",5.08
35,ANSYS Inc.,ANSS,NAS,239.59,255.46,-15.87,31.63,557,41.46,28.63,-6.21%,661,4.89
36,Anthem Inc.,ANTM,NYSE,278.18,295.75,-17.57,12.55,"5,948",137.97,59.04,-5.94%,"6,383",4.17
37,Aon PLC,AON,NYSE,209.49,207.23,2.26,21.59,"2,308",18.63,88.27,1.09%,"2,655",3.7
38,Apache Corp.,APA,NYSE,23.29,25.94,-2.65,78.3,412,15.16,72.28,-10.22%,395,3.28
39,Apple Inc.,AAPL,NAS,281.96,293.7,-11.74,21.24,"62,941",18.28,73.27,-4.0%,"67,039",3.83
40,Applied Materials Inc.,AMAT,NAS,57.06,59.66,-2.6,13.88,"3,386",9.94,56.85,-4.36%,"3,552",5.46
41,Aptiv (ex Delphi Automotive),APTV,NYSE,75.36,93.18,-17.82,15.08,"1,084",17.54,70.2,-19.12%,"1,241",5.88
42,Archer Daniels Midland Co. (ADM),ADM,NYSE,36.95,45.79,-8.84,10.71,"1,663",35.6,56.17,-19.31%,"1,852",6.07
43,AT&T Inc. (AT & T Inc.),T,NYSE,36.72,38.98,-2.26,9.56,"27,816",27.17,63.4,-5.8%,"27,487",4.63
44,Autodesk Inc.,ADSK,NAS,177.83,183.78,-5.95,56.78,"1,325",0.39,102.25,-3.24%,"1,584",4.15
45,Automatic Data Processing Inc.,ADP,NAS,153.42,169.08,-15.66,23.99,878,14.43,87.11,-9.26%,"3,650",4.94
46,AutoZone Inc.,AZO,NYSE,"1,008.50","1,167.01",-158.51,16.61,"1,534",-62.86,117.32,-13.58%,"1,633",4.98
47,AvalonBay Communities Inc.,AVB,NYSE,208.47,209.06,-0.59,41.16,356,76.21,42.51,-0.28%,395,3.48
48,Avery Dennison Corp.,AVY,NYSE,115.43,128.39,-12.96,16.31,516,15.38,78.06,-10.09%,556,4.62
49,Baker Hughes Inc.,BKR,NYSE,16.34,25.72,-9.38,9.95,"1,162",33.01,35.36,-36.47%,"1,604",7.86
50,Ball Corp.,BLL,NYSE,75.22,65.06,10.16,26.0,957,9.27,82.61,15.62%,"1,110",3.75
